2022-04-06 00:00:00,2690
2022-04-07 00:00:00,2622
2022-04-08 00:00:00,2585
2022-04-09 00:00:00,2308
2022-04-10 00:00:00,2088
2022-04-11 00:00:00,2818
2022-04-12 00:00:00,2564
2022-04-13 00:00:00,2673
2022-04-14 00:00:00,2676
2022-04-15 00:00:00,2587
2022-04-16 00:00:00,2140
2022-04-17 00:00:00,2118
2022-04-18 00:00:00,2573
2022-04-19 00:00:00,2666
2022-04-20 00:00:00,2704
2022-04-21 00:00:00,2550
2022-04-22 00:00:00,2656
2022-04-23 00:00:00,2230
2022-04-24 00:00:00,2252
2022-04-25 00:00:00,2592
2022-04-26 00:00:00,2605
2022-04-27 00:00:00,2709
2022-04-28 00:00:00,2640
2022-04-29 00:00:00,2652
2022-04-30 00:00:00,2267
2022-05-01 00:00:00,2321
2022-05-02 00:00:00,2731
2022-05-03 00:00:00,2956
2022-05-04 00:00:00,2801
2022-05-05 00:00:00,2714
2022-05-06 00:00:00,2729
2022-05-07 00:00:00,2340
2022-05-08 00:00:00,2122
2022-05-09 00:00:00,2504
2022-05-10 00:00:00,2828
2022-05-11 00:00:00,2878
2022-05-12 00:00:00,2769
2022-05-13 00:00:00,2647
2022-05-14 00:00:00,2211
2022-05-15 00:00:00,2132
2022-05-16 00:00:00,2983
2022-05-17 00:00:00,2719
2022-05-18 00:00:00,2783
2022-05-19 00:00:00,2778
2022-05-20 00:00:00,2703
2022-05-21 00:00:00,2342
2022-05-22 00:00:00,2266
2022-05-23 00:00:00,2685
2022-05-24 00:00:00,2594
2022-05-25 00:00:00,2573
2022-05-26 00:00:00,2650
2022-05-27 00:00:00,2521
2022-05-28 00:00:00,2314
2022-05-29 00:00:00,2148
2022-05-30 00:00:00,2283
2022-05-31 00:00:00,652
